Reported Source,Reported Date,Service Type,Urgency,Impact,Priority,Closure Source,Ticket Type,Closed Date
11000,1701388814,3,4000,4000,3,2000,0,1701823127
11000,1701388824,3,4000,2000,3,2000,0,1701835737
12002,1701388827,0,4000,4000,3,2000,0,1701854404
12002,1701388847,0,4000,4000,3,2000,0,1701828000
4200,1701388866,1,4000,4000,3,2000,0,1701861304
4200,1701388903,1,4000,4000,3,2000,0,1702278740
11000,1701388908,3,4000,3000,3,2000,0,1701898711
2000,1701388909,0,4000,4000,3,NULL,0,NULL
4200,1701388999,0,1000,1000,0,2000,0,1701844770
4200,1701389056,0,4000,4000,3,2000,0,1701848852
2000,1701388863,1,4000,4000,3,2000,0,1701821904
11000,1701389181,3,3000,3000,2,2000,0,1702538916
11000,1701389218,3,4000,4000,3,2000,0,1701829356
11000,1701389330,3,4000,4000,3,2000,0,1701909791
11000,1701389383,3,4000,2000,3,2000,0,1701825592
11000,1701389407,3,4000,4000,3,2000,0,1701826837
12002,1701389630,0,4000,4000,3,2000,0,1701888798
3000,1701389643,3,4000,4000,3,2000,0,1701857169
11000,1701389697,3,4000,4000,3,2000,0,1701829356
11000,1701389711,3,3000,4000,2,2000,0,1701852978
2000,1701389626,1,4000,4000,3,2000,0,1701966604
6000,1701389831,0,4000,4000,3,2000,0,1701823127
11000,1701389891,3,4000,4000,3,2000,0,1701823127
11000,1701389895,3,3000,3000,2,2000,0,1701823127
2000,1701389750,1,4000,4000,3,2000,0,1701823127
11000,1701390042,3,4000,2000,3,2000,0,1701828000
3000,1701390142,3,4000,4000,3,2000,0,1702106776
11000,1701390171,3,4000,2000,3,2000,0,1701823127
11000,1701390177,3,4000,2000,3,2000,0,1701823127
12002,1701390194,0,4000,4000,3,2000,0,1701831886
4200,1701390210,1,4000,4000,3,2000,0,1702090916
2000,1701390085,3,4000,4000,3,2000,0,1701870930
11000,1701390367,3,3000,3000,2,2000,0,1702538916
11000,1701390440,3,3000,3000,2,2000,0,1702538916
11000,1701390460,3,4000,2000,3,2000,0,1701825592
4200,1701390468,0,4000,4000,3,NULL,0,NULL
2000,1701390302,1,4000,4000,3,2000,0,1701823127
11000,1701390724,3,4000,2000,3,2000,0,1701825592
11000,1701390725,3,4000,2000,3,2000,0,1701825592
11000,1701390796,3,4000,4000,3,2000,0,1701883783
11000,1701390858,3,3000,3000,2,2000,0,1702538916
11000,1701390859,3,3000,3000,2,NULL,0,NULL
2000,1701390980,3,4000,4000,3,2000,0,1701951854
11000,1701390958,3,4000,4000,3,2000,0,1701829356
9000,1701391054,1,4000,4000,3,2000,0,1702284253
4200,1701391074,1,4000,4000,3,2000,0,1701847499
2000,1701390856,1,4000,4000,3,2000,0,1701824364
11000,1701391097,3,3000,3000,2,2000,0,1701824364
2000,1701391263,3,4000,4000,3,2000,0,1702009320
11000,1701391212,3,4000,4000,3,2000,0,1701831886
6000,1701391360,1,3000,4000,2,2000,0,1701830628
11000,1701391400,3,3000,3000,2,2000,0,1702538916
9000,1701391460,1,4000,4000,3,2000,0,1701839539
11000,1701391513,3,3000,3000,2,2000,0,1701824364
6000,1701391520,0,4000,4000,3,2000,0,1702118933
11000,1701391582,3,4000,4000,3,2000,0,1701833150
6000,1701391719,1,4000,4000,3,2000,0,1701824364
11000,1701391882,3,3000,4000,2,2000,0,1701844770
9000,1701391891,1,4000,4000,3,2000,0,1702220192
2000,1701391699,1,4000,4000,3,2000,0,1701824364
12002,1701392007,0,4000,4000,3,2000,0,1701824364
4200,1701392058,1,4000,4000,3,2000,0,1701843472
12002,1701392161,0,4000,4000,3,2000,0,1702135976
11000,1701392221,3,4000,4000,3,2000,0,1701830628
11000,1701392241,3,3000,3000,2,2000,0,1702538916
