sqft,bath,balcony,price,bhk,location_encoded,society_encoded
550.0,1.0,1.0,27.0,1,54.73337781608231,56.1857500315909
440.0,1.0,0.0,28.0,1,77.68759638297794,76.28982255685823
510.0,1.0,0.0,25.25,1,84.40937896982484,72.44003021250046
510.0,1.0,1.0,25.25,1,84.40937896982484,72.44003021250046
1080.0,2.0,2.0,72.0,2,94.86427360583376,83.71621677142761
1270.0,2.0,2.0,93.0,2,94.86427360583376,87.41095839138642
1420.0,2.0,1.0,100.0,3,94.86427360583376,83.71621677142761
1245.0,2.0,1.0,94.0,2,94.86427360583376,99.58553327453667
1175.0,2.0,1.0,82.0,2,94.86427360583376,87.41095839138642
1400.0,2.0,1.0,95.0,3,94.86427360583376,83.71621677142761
2225.0,3.0,1.0,160.0,3,94.86427360583376,97.56984769435668
1050.0,2.0,1.0,71.0,2,94.86427360583376,83.71621677142761
1450.0,2.0,1.0,100.0,3,94.86427360583376,87.27632183444024
1420.0,2.0,2.0,96.0,3,94.86427360583376,83.71621677142761
1680.0,3.0,2.0,120.0,3,94.86427360583376,99.58553327453667
980.0,2.0,2.0,69.0,2,94.86427360583376,83.71621677142761
1180.0,2.0,2.0,72.0,2,94.86427360583376,81.84013486668339
1050.0,2.0,1.0,57.0,3,94.86427360583376,81.34848187582668
1270.0,2.0,1.0,83.0,2,94.86427360583376,87.41095839138642
2503.0,4.0,0.0,188.0,4,94.86427360583376,97.56984769435668
1250.0,3.0,2.0,65.0,3,94.86427360583376,82.72252523173532
1575.0,2.0,2.0,110.0,3,94.86427360583376,99.58553327453667
1850.0,3.0,2.0,140.0,3,94.86427360583376,92.48066080896015
1575.0,2.0,2.0,120.0,3,94.86427360583376,99.58553327453667
1680.0,3.0,2.0,120.0,3,94.86427360583376,99.58553327453667
1175.0,2.0,2.0,82.5,2,94.86427360583376,87.41095839138642
1215.0,2.0,2.0,90.0,2,94.86427360583376,87.41095839138642
1050.0,2.0,1.0,75.0,2,94.86427360583376,83.71621677142761
1300.0,3.0,2.0,89.13,3,94.86427360583376,84.59545275139885
1130.0,2.0,2.0,73.0,2,94.86427360583376,83.71621677142761
1450.0,3.0,2.0,100.0,3,94.86427360583376,87.41095839138642
1275.0,2.0,1.0,87.0,2,94.86427360583376,87.41095839138642
1650.0,3.0,2.0,110.0,3,94.86427360583376,99.58553327453667
1680.0,3.0,2.0,117.0,3,94.86427360583376,99.58553327453667
1000.0,2.0,2.0,53.0,2,94.86427360583376,81.84013486668339
1680.0,3.0,2.0,125.0,3,94.86427360583376,99.58553327453667
1460.0,2.0,2.0,100.0,3,94.86427360583376,83.71621677142761
1650.0,3.0,3.0,110.0,3,94.86427360583376,83.71621677142761
1200.0,2.0,2.0,62.5,2,94.86427360583376,81.84013486668339
1000.0,2.0,1.0,70.65,2,94.86427360583376,84.59545275139885
1080.0,2.0,2.0,75.0,2,94.86427360583376,83.71621677142761
1680.0,3.0,3.0,125.0,3,94.86427360583376,99.58553327453667
1460.0,2.0,1.0,97.0,3,94.86427360583376,83.71621677142761
1100.0,3.0,1.0,60.0,2,94.86427360583376,82.07198285992033
1790.0,3.0,3.0,120.0,3,94.86427360583376,99.58553327453667
1680.0,3.0,2.0,117.0,3,94.86427360583376,99.58553327453667
1050.0,2.0,1.0,77.0,2,94.86427360583376,83.71621677142761
1050.0,2.0,1.0,75.0,2,94.86427360583376,83.71621677142761
1040.0,2.0,1.0,75.0,2,94.86427360583376,83.71621677142761
1400.0,2.0,1.0,95.0,3,94.86427360583376,83.71621677142761
1800.0,3.0,2.0,130.0,3,94.86427360583376,87.41095839138642
1050.0,2.0,0.0,68.0,2,94.86427360583376,83.71621677142761
1000.0,2.0,2.0,60.0,2,94.86427360583376,82.07198285992033
1680.0,3.0,2.0,125.0,3,94.86427360583376,99.58553327453667
1050.0,2.0,1.0,77.47,2,94.86427360583376,83.71621677142761
1270.0,2.0,1.0,80.0,2,94.86427360583376,87.41095839138642
1680.0,3.0,2.0,122.0,3,94.86427360583376,99.58553327453667
1130.0,2.0,2.0,85.0,2,94.86427360583376,83.71621677142761
1680.0,3.0,3.0,130.0,3,94.86427360583376,99.58553327453667
980.0,2.0,1.0,77.44,2,94.86427360583376,83.71621677142761
1680.0,3.0,2.0,112.0,3,94.86427360583376,99.58553327453667
1515.0,2.0,1.0,76.0,3,94.86427360583376,84.15371844972829
1976.0,3.0,1.0,145.0,3,94.86427360583376,97.56984769435668
1600.0,2.0,2.0,110.0,3,94.86427360583376,99.58553327453667
1765.0,3.0,2.0,118.0,3,94.86427360583376,99.58553327453667
1450.0,2.0,1.0,102.0,3,94.86427360583376,87.41095839138642
1575.0,2.0,2.0,110.0,3,94.86427360583376,99.58553327453667
1075.0,2.0,1.0,57.0,3,94.86427360583376,81.34848187582668
